=== task-48 seo-audit — RUN 1 (BEFORE fixes) : live production https://francepassoire.pages.dev — 2026-08-20T22:41:15Z
# Audit SEO — 164 pages du sitemap
Cible de fetch : https://francepassoire.pages.dev (canonical comparé à https://francepassoire.com)

| Page | HTTP | Title | Desc | Canonical | OG | H1 |
| `/fiche/ffhandball-20260810/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/fftir-20251020/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/ficoba-20260128/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/france-travail-20240313/` | ✓ | ⚠ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/france-travail-20250722/` | ✓ | ⚠ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/france-travail-20251201/` | ✓ | ⚠ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/ght-coeur-grand-est-20220419/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/harvest-20250228/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/hubee-20260109/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/insee-20260625/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/intermarche-drive-20260803/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/intersport-20250319/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/ird-20260817/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/kiabi-20250114/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/la-poste-mobile-20220708/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/ldlc-20240228/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/ledger-20200729/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/leroy-merlin-20251203/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/ministere-de-l-interieur-20251212/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/ministere-des-sports-20251217/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/mondial-relay-20251227/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/nexpublica-france-20251222/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/ofii-20260101/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/orange-20250728/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/police-nationale-20260415/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/sante-publique-france-20260811/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/sfr-20260717/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/sorbonne-universite-20250606/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/sport-2000-20260819/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/stade-francois-20260805/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/tchap-20260607/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/urssaf-pajemploi-20251117/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/viamedis-20240205/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/fiche/weda-20251110/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/mentions-legales/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/methode/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/proteger/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/ransomware/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/ransomware/everest/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/ransomware/qilin/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/secteur/finance/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/secteur/industrie/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/secteur/media/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/secteur/public/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/secteur/retail/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/secteur/sante/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/secteur/services/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/signaler/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |

## Pages en défaut
- https://francepassoire.com/embed/compteur/
  - ERROR meta description absente ou vide
  - ERROR canonical absent
  - ERROR balises OG absentes : og:title, og:description, og:url, og:type
  - ERROR <h1> : 0 balise(s)
- https://francepassoire.com/fiche/chronopost-20250212/
  - WARN titre dupliqué (2 pages) : « Chronopost : la fiche - France Passoire »
- https://francepassoire.com/fiche/chronopost-20251219/
  - WARN titre dupliqué (2 pages) : « Chronopost : la fiche - France Passoire »
- https://francepassoire.com/fiche/france-travail-20240313/
  - WARN titre dupliqué (3 pages) : « France Travail : la fiche - France Passoire »
- https://francepassoire.com/fiche/france-travail-20250722/
  - WARN titre dupliqué (3 pages) : « France Travail : la fiche - France Passoire »
- https://francepassoire.com/fiche/france-travail-20251201/
  - WARN titre dupliqué (3 pages) : « France Travail : la fiche - France Passoire »

Récapitulatif : 164 pages crawlees, 4 erreur(s), 5 avertissement(s).
✗ seo-audit: gate dépassé (0 erreur attendue, ≤ 5 avertissements) — voir ci-dessus.
exit=1

=== task-48 seo-audit — RUN 2 (AFTER fixes ; build local servi sur http://127.0.0.1:8788 — canonical/OG comparés aux URLs de production) — 2026-08-20T22:41:23Z
# Audit SEO — 164 pages du sitemap
Cible de fetch : http://127.0.0.1:8788 (canonical comparé à https://francepassoire.com)

| Page | HTTP | Title | Desc | Canonical | OG | H1 |
|---|---|---|---|---|---|---|
| `/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/2021/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/2022/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/2024/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/2025/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/2026/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/chiffres/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/confidentialite/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/donnees/coordonnees/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/donnees/credentials/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/donnees/documents/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
